Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
Alfred L O'Connor,M,SBD,Raw,47.5,45-49,40-49,MR-M1b,150.9,140+,140,145,150,,150,-85,87.5,92.5,,92.5,120,127.5,135,,135,377.5,1,202.68,208.69,197.23,39.98,Yes,USA,TX,USAPL,,2023-02-25,USA,TX,,Texas Strength Classic,Yes
Maria Shemit,F,SBD,Raw,22.5,20-23,19-23,FR-Jr,56.2,57,-110,110,115,,115,55,60,62.5,,62.5,115,122.5,127.5,,127.5,305,1,352.70,357.86,316.52,72.31,Yes,USA,MI,USAPL,IPF,2021-11-06,USA,MI,,Michigan State Championships,Yes
Cameren Moore,F,SBD,Raw,16.5,16-17,14-18,FR-V,74.16,75,117.5,125,132.5,,132.5,55,60,62.5,,62.5,117.5,-125,-130,,117.5,312.5,9,306.19,299.20,263.30,62.34,Yes,USA,TX,USAPL,,2022-03-22,USA,IL,Lombard,High School Nationals,Yes
Arian Khamesi,M,SBD,Raw,24,24-34,24-39,MR-O,97.6,100,185,200,207.5,,207.5,107.5,115,120,,120,205,220,227.5,,227.5,555,16,345.29,341.16,326.01,70.93,Yes,USA,FL,USAPL,IPF,2012-08-03,USA,TX,Killeen,Raw Nationals,Yes
Sean Gibson,M,SBD,Single-ply,28.5,24-34,24-39,M-O,73.1,74,,,,,270,,,,,162.5,,,,,232.5,665,4,485.10,482.55,466.77,83.07,Yes,USA,,USAPL,IPF,2014-06-20,USA,PA,,32nd Annual Men's National Powerlifting Championships,Yes
Alan Navarro,M,SBD,Raw,18.5,18-19,19-23,MR-T3,99.75,100,230,240,245,,245,110,115,122.5,,122.5,202.5,212.5,-217.5,,212.5,580,2,357.39,353.34,337.49,73.36,Yes,USA,KS,USAPL,,2022-06-25,USA,KS,,Risk Barbell Summer Smash,Yes
Rene Maldonado,M,SBD,Raw,37.5,35-39,24-39,MR-O,103.6,105,232.5,242.5,250,,250,185,190,-195,,190,235,250,265,,265,705,1,427.51,423.30,404.19,87.59,Yes,USA,TX,USAPL,IPF,2016-12-03,USA,TX,San Antonio,Southern Regional Championships,Yes
Sophia Veiras,F,B,Single-ply,32,24-34,24-39,F-O,65.24,67.5,,,,,,122.5,130,137.5,,137.5,,,,,,137.5,2,144.81,143.86,126.97,81.23,Yes,USA,CT,USAPL,,2023-08-05,USA,AZ,,Bench Nationals,Yes
Selah Alft,F,SBD,Raw,20.5,20-23,19-23,FR-Jr,76.35,82.5,97.5,110,-117.5,,110,65,70,-77.5,,70,125,-142.5,-142.5,,125,305,1,294.30,286.77,252.08,60.00,Yes,USA,WI,USAPL,,2024-03-16,USA,WI,,Madness Open,Yes
Vicky Parsley,F,SBD,Raw,39.5,35-39,40-49,FR-O,99.35,84+,137.5,145,-147.5,,145,70,75,77.5,,77.5,130,142.5,152.5,,152.5,375,4,320.82,312.82,268.96,67.00,Yes,USA,WI,USAPL,IPF,2018-04-07,USA,WI,,920 Raw Open,Yes
Rousseau Richards,M,SBD,Raw,38.5,35-39,24-39,MR-O,102.4,105,170,-190,190,,190,135,145,-147.5,,145,185,205,215,,215,550,4,335.13,331.66,316.69,68.71,Yes,USA,VA,USAPL,IPF,2018-07-14,USA,MD,,Rumble on Pratt Street,Yes
Skylar Crow #1,M,SBD,Raw,20.5,20-23,19-23,MR-Jr,90.5,93,220,230,-235,,230,135,140,150,,150,-195,195,-212.5,,195,575,1,370.76,366.05,350.74,76.23,Yes,USA,OR,USAPL,IPF,2018-04-07,USA,OR,,Oregon State Championships,Yes
Cody Vansylalom,M,SBD,Raw,19.5,20-23,19-23,MR-T,91.05,100,172.5,185,190,,190,92.5,97.5,102.5,,102.5,180,190,197.5,,197.5,490,2,315.00,311.00,297.91,64.77,Yes,USA,IA,USAPL,,2023-02-04,USA,IA,,Iowa State Open,Yes
Alvan Chow,M,SBD,Single-ply,19.5,20-23,19-23,M-Jr,50,52,,,,,67.5,,,,,60,,,,,107.5,235,1,233.77,240.44,237.32,39.22,Yes,,,USAPL,IPF,2014-12-06,USA,TX,San Antonio,Texas Regional Championships,Yes
